date,description,amount,balance,row_id
2024-01-01,NEFT CR EMPLOYER SALARY MONIL TECH SOLUTIONS,85000.0,135000.0,0
2024-01-03,UPI CR CLIENT PAYMENT INVFCDD6E,39299.0,174299.0,1
2024-01-04,ATM WITHDRAWAL HDFC BANK,-2405.0,171894.0,2
2024-01-05,NACH DR HDFC HOMELOAN EMI A/C 00112233,-22000.0,149894.0,3
2024-01-05,POS DR DMART HYPERMARKET,-5337.0,144557.0,4
2024-01-06,ATM WITHDRAWAL HDFC BANK,-6754.0,137803.0,5
2024-01-08,UPI DR PAYTM MERCHANT,-2305.0,135498.0,6
2024-01-10,UPI CR CLIENT PAYMENT INVDCB3E0,19572.0,155070.0,7
2024-01-10,UPI DR SWIGGY ORDER,-6477.0,148593.0,8
2024-01-11,UPI CR CLIENT PAYMENT INV546F34,23024.0,171617.0,9
2024-01-12,POS DR DMART HYPERMARKET,-1259.0,170358.0,10
2024-01-14,POS DR DMART HYPERMARKET,-3440.0,166918.0,11
2024-01-15,UPI DR ZOMATO FOOD ORDER,-2776.0,164142.0,12
2024-01-15,UPI DR SWIGGY ORDER,-744.0,163398.0,13
2024-01-16,UTILITY BILL PAYMENT MSEDCL,-7130.0,156268.0,14
2024-01-16,POS DR DMART HYPERMARKET,-3600.0,152668.0,15
2024-01-18,UPI DR SWIGGY ORDER,-5097.0,147571.0,16
2024-01-27,UPI DR PHONEPE TRANSFER,-6219.0,141352.0,17
2024-01-29,UPI DR SWIGGY ORDER,-6716.0,134636.0,18
2024-01-29,UPI DR ZOMATO FOOD ORDER,-5445.0,129191.0,19
2024-02-01,NEFT CR EMPLOYER SALARY MONIL TECH SOLUTIONS,85000.0,214191.0,20
2024-02-05,NACH DR HDFC HOMELOAN EMI A/C 00112233,-22000.0,192191.0,21
2024-02-09,POS DR DMART HYPERMARKET,-3613.0,188578.0,22
2024-02-10,DEBIT CARD PURCHASE PETROL,-5707.0,182871.0,23
2024-02-11,POS DR DMART HYPERMARKET,-7506.0,175365.0,24
2024-02-13,UPI DR ZOMATO FOOD ORDER,-2216.0,173149.0,25
2024-02-14,UPI CR CLIENT PAYMENT INVECE813,33918.0,207067.0,26
